ARK;"Dénomination / Titre";Auteur;"Date de création";"Numéro d’inventaire";Collection;"Références géographiques / Lieux";Localisation;MNR
cl010212043;Crucifix;;"vers 1600";"OA 12538";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine du sud = sud de la Chine";"non exposé";
cl010115664;"Tête de femme";Anonyme;"1600 / 1700  (XVIIe siècle)";"OA 2750";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine du sud = sud de la Chine";"Richelieu, [OArt] Salle 527 - Adolphe Rothschild, Vitrine 7";
cl010330060;"Tesson (grès)";;;"OA 7735/42";"Département des Arts de l'Islam";"Lieu de création : Chine (?) / Lieu de provenance : Samarra";"non exposé";
cl010330061;"Tesson (grès)";;;"OA 7735/43";"Département des Arts de l'Islam";"Lieu de création : Chine (?) / Lieu de provenance : Samarra";"non exposé";
cl010358123;"Plat ovale";;"1800 / 1900  (XIXe siècle)";"MAO 504";"Département des Arts de l'Islam";"Lieu de création : Chine";"Paris (France), Musée national des Arts asiatiques - Guimet";
cl010330057;"Tesson : bord de petite coupe à bord arrondi";;"800 / 1000  (IXe siècle ; Xe siècle)";"OA 7735/4";"Département des Arts de l'Islam";"Lieu de création : Chine (?) / Lieu de provenance : Samarra";"non exposé";
cl010330118;"Fragment de parois de céladon";;;"OA 7735/95";"Département des Arts de l'Islam";"Lieu de création : Chine (?) / Lieu de provenance : Samarra";"non exposé";
cl010315953;"Bord de jarre";;;"AFI 1236 a; T. QOUBESSINE 26.1";"Département des Arts de l'Islam";"Lieu de création : Chine / Lieu de provenance : Alep (région), vallée de fleuve Qoueiq";"non exposé";
cl010315954;"Tesson de jarre";;;"AFI 1236 b; T. QOUBESSINE 26.2";"Département des Arts de l'Islam";"Lieu de création : Chine / Lieu de provenance : Alep (région), vallée de fleuve Qoueiq";"non exposé";
cl010330059;"Tesson (grès)";;;"OA 7735/41";"Département des Arts de l'Islam";"Lieu de création : Chine (?) / Lieu de provenance : Samarra";"non exposé";
cl010096602;"Coupe basse";;"1500 / 1600  (XVIIe siècle)";"MR 311";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"Denon, [OArt] Salle 705 - Galerie d'Apollon, Vitrines tables, vitrine table 1";
cl010097374;"Paire de bouteilles en porcelaine montée";Anonyme;"1600 / 1800  (XVIIe-XVIIIe siècle)";"OA 5150";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010097749;"Plateau en émail cloisonné à décor d'oiseaux et de branches, d'une paire (R 1453 et R 1454)";;"1800 / 1900  (XIXe siècle)";"R 1454";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010101307;"Plateau à six pans, d'un service (R 1019, 1198, 1199, 1204, 1206 et 1207)";;;"R 1012";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102008;"Bonbonnière en cristal de roche représentant un canard s'ouvrant au milieu du corps (socle en bois de fer manquant) H. 0.11 L. 0.13 avec le socle.";;"1800 / 1900  (XIXe siècle)";"R 390";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102115;"Assiette en porcelaine coquille d'oeuf, revers rubis";;;"R 1013";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102122;"Assiette porcelaine de Chine coquille d'oeuf.";;;"R 1033";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102123;"Tasse et soucoupe, d'une série de douze (R 1041 à 1052)";;"1735 / 1796  (XVIIIe siècle)";"R 1050";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102128;"Assiette en porcelaine de Chine coquille d'oeuf, revers blanc";;"1700 / 1800  (XVIIIe siècle)";"R 1066";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102129;"Plat en porcelaine de Chine";;"1700 / 1800  (XVIIIe siècle)";"R 1068";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102133;"Assiette en porcelaine de Chine, coquille d'oeuf, revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1075";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102134;"Assiette en porcelaine de Chine, décor noir et or";;;"R 1079";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102138;"Assiette en porcelaine de Chine, revers rubis";;;"R 1094";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102141;"Assiette d'une série de trois (R 1100 et R 1125)";"Chine, atelier de Jingdezhen";"1730 / 1740  (2e quart du XVIIIe siècle)";"R 1102";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102145;"Assiette en porcelaine coquille d'oeuf";;"1700 / 1800  (XVIIIe siècle)";"R 1112";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102154;"Vase sur pied bas ; panse sphérique renflée, d'une paire (R 1195)";;;"R 1194";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010102170;"Bol évasé en jade, sur pied bas";Anonyme;"1800 / 1900  (XIXe siècle)";"R 1373";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102178;"Coupe (cendrier), d'un ensemble avec R 1395";;"1800 / 1900  (XIXe siècle)";"R 1396";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102179;"Vase à couvercle, anses formées de monstres, sur trois pieds";;"1800 / 1900  (XIXe siècle)";"R 1398";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102180;"Coupe d'une série de huit (R 1404 à 1411)";Anonyme;"1700 / 1800  (XVIIIe siècle [?])";"R 1404";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102181;"Coupe d'une série de huit (R 1404 à 1411)";Anonyme;"1700 / 1800  (XVIIIe siècle [?])";"R 1406";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102189;Plateau;Anonyme;"1800 / 1900  (XIXe siècle)";"R 1468";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010102343;"Vase cornet";Anonyme;"1800 / 1900  (XIXe siècle)";"TH 289";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010102345;Pélican;Anonyme;"1800 / 1900  (XIXe siècle [?])";"TH 293";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Richelieu, [OArt] Salle 550 - Elise Dosne-Thiers, Vitrine 5, Etagère 4";
cl010102526;"Plat rond et creux";"Chine, atelier de Jingdezhen";"1723 / 1735  (2e quart du XVIIIe siècle)";"TH 455";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
